State,City,Date,Temperature (°C),Rainfall (mm),Humidity (%),Condition
Nagaland,Kohima,2026-08-15,31.7,173.6,82.2,Stormy
Uttar Pradesh,Lucknow,2026-08-14,26.9,70.3,83.8,Rainy
Delhi (NCT),Rohini,2026-08-14,25.9,178.9,87.5,Heavy Rain
Haryana,Panipat,2026-08-13,23.8,176.8,85.4,Stormy
Madhya Pradesh,Indore,2026-08-13,31.7,64.0,77.5,Cloudy
Madhya Pradesh,Gwalior,2026-08-13,32.2,75.6,89.1,Cloudy
Mizoram,Aizawl,2026-08-13,27.5,169.4,78.0,Rainy
Jammu and Kashmir,Srinagar,2026-08-12,23.2,111.0,94.4,Heavy Rain
Goa,Panaji,2026-08-10,23.9,121.4,90.2,Rainy
Haryana,Gurugram,2026-08-10,24.9,23.9,67.5,Rainy
Telangana,Warangal,2026-08-09,30.7,40.8,84.4,Cloudy
Meghalaya,Shillong,2026-08-08,32.3,42.4,86.0,Cloudy
Tamil Nadu,Chennai,2026-08-08,31.8,30.8,74.4,Cloudy
Uttarakhand,Nainital,2026-08-08,32.3,64.6,78.1,Heavy Rain
Uttar Pradesh,Varanasi,2026-08-07,23.3,77.8,91.3,Heavy Rain
Andhra Pradesh,Tirupati,2026-08-06,32.3,86.8,70.2,Cloudy
Jharkhand,Dhanbad,2026-08-06,27.6,26.6,70.2,Heavy Rain
Tamil Nadu,Coimbatore,2026-08-06,31.8,64.1,77.6,Stormy
Jharkhand,Ranchi,2026-08-04,30.8,18.7,92.4,Rainy
Delhi (NCT),Dwarka,2026-08-04,23.4,176.4,85.0,Stormy
Arunachal Pradesh,Itanagar,2026-08-03,26.5,114.3,67.6,Rainy
Uttar Pradesh,Kanpur,2026-08-03,25.5,57.8,71.3,Heavy Rain
West Bengal,Darjeeling,2026-08-03,29.7,73.1,86.6,Rainy
Ladakh,Kargil,2026-08-03,31.9,151.6,90.3,Stormy
Himachal Pradesh,Shimla,2026-08-02,27.6,82.1,65.5,Stormy
Jharkhand,Jamshedpur,2026-08-02,30.8,63.1,76.6,Rainy
West Bengal,Siliguri,2026-08-02,23.4,55.7,69.2,Stormy
Ladakh,Leh,2026-08-02,33.0,119.4,88.2,Rainy
Andhra Pradesh,Visakhapatnam,2026-08-01,26.5,136.5,89.8,Stormy
Kerala,Kochi,2026-07-31,33.0,141.6,80.3,Stormy
Punjab,Chandigarh,2026-07-31,29.8,28.8,72.4,Cloudy
Uttar Pradesh,Noida,2026-07-31,34.0,44.1,87.7,Stormy
Bihar,Bhagalpur,2026-07-30,31.4,173.3,81.9,Heavy Rain
Gujarat,Ahmedabad,2026-07-30,27.7,26.7,70.3,Rainy
Assam,Dibrugarh,2026-07-29,33.0,174.9,83.5,Heavy Rain
Arunachal Pradesh,Naharlagun,2026-07-28,25.5,135.5,88.8,Rainy
Assam,Silchar,2026-07-28,23.0,153.8,92.5,Rainy
Haryana,Faridabad,2026-07-28,27.2,26.2,69.8,Heavy Rain
Karnataka,Mangaluru,2026-07-28,31.4,52.6,66.1,Heavy Rain
Nagaland,Dimapur,2026-07-28,30.9,18.8,92.5,Cloudy
Andhra Pradesh,Vijayawada,2026-07-27,26.6,103.3,86.7,Stormy
Gujarat,Surat,2026-07-26,26.2,157.0,65.6,Rainy
Punjab,Jalandhar,2026-07-26,30.4,18.3,92.0,Rainy
Telangana,Nizamabad,2026-07-26,27.2,48.4,92.0,Cloudy
Himachal Pradesh,Manali,2026-07-25,25.6,80.1,93.6,Stormy
Maharashtra,Nagpur,2026-07-25,32.5,42.6,86.2,Heavy Rain
Rajasthan,Jaipur,2026-07-24,33.6,21.5,65.1,Rainy
Telangana,Hyderabad,2026-07-24,26.7,47.9,91.5,Rainy
Karnataka,Hubballi,2026-07-23,28.3,38.4,82.0,Cloudy
Maharashtra,Pune,2026-07-22,33.1,21.0,94.7,Heavy Rain
Tripura,Agartala,2026-07-22,33.1,21.0,94.7,Heavy Rain
Gujarat,Vadodara,2026-07-21,31.0,18.9,92.6,Stormy
West Bengal,Kolkata,2026-07-21,31.5,41.6,85.2,Cloudy
Kerala,Thiruvananthapuram,2026-07-20,30.4,118.2,71.5,Heavy Rain
Jammu and Kashmir,Jammu,2026-07-20,33.6,77.0,90.5,Heavy Rain
Goa,Margao,2026-07-19,33.2,119.6,88.4,Stormy
Madhya Pradesh,Jabalpur,2026-07-19,27.8,82.3,65.7,Rainy
Punjab,Amritsar,2026-07-19,23.1,176.1,84.7,Heavy Rain
Karnataka,Mysuru,2026-07-18,24.7,23.7,67.3,Stormy
